Duration (ms),Start date,Start station,End date,End station,Bike number,Subscription type
1761773,6/30/2015 23:58,17th St & Massachusetts Ave NW,7/1/2015 0:27,USDA / 12th & Independence Ave SW,W21320,Casual
193188,6/30/2015 23:58,5th & K St NW,7/1/2015 0:01,3rd & H St NW,W20832,Member
2895041,6/30/2015 23:57,Jefferson Dr & 14th St SW,7/1/2015 0:45,Jefferson Dr & 14th St SW,W21519,Casual
2845488,6/30/2015 23:57,Jefferson Dr & 14th St SW,7/1/2015 0:44,Jefferson Dr & 14th St SW,W00335,Casual
1130426,6/30/2015 23:57,Park Rd & Holmead Pl NW,7/1/2015 0:16,1st & Rhode Island Ave NW,W20576,Member
684472,6/30/2015 23:57,11th & S St NW,7/1/2015 0:08,1st & M St NE,W21338,Member
1345663,6/30/2015 23:56,36th & Calvert St NW / Glover Park,7/1/2015 0:18,4th & E St SW,W00219,Member
879294,6/30/2015 23:55,14th & Rhode Island Ave NW,7/1/2015 0:10,21st & M St NW,W20990,Casual
3382291,6/30/2015 23:54,14th St & New York Ave NW,7/1/2015 0:50,13th St & New York Ave NW,W22102,Casual
3062604,6/30/2015 23:54,Jefferson Dr & 14th St SW,7/1/2015 0:45,Jefferson Dr & 14th St SW,W00530,Casual
3030655,6/30/2015 23:54,Jefferson Dr & 14th St SW,7/1/2015 0:44,Jefferson Dr & 14th St SW,W21332,Casual
928668,6/30/2015 23:54,14th & R St NW,7/1/2015 0:10,11th & Kenyon St NW,W01192,Member
834875,6/30/2015 23:54,1st & H St NW,7/1/2015 0:08,18th & R St NW,W21911,Member
601419,6/30/2015 23:54,17th St & Massachusetts Ave NW,7/1/2015 0:04,Adams Mill & Columbia Rd NW,W21765,Member
502546,6/30/2015 23:54,15th & Euclid St  NW,7/1/2015 0:02,Thomas Circle,W00958,Member
248681,6/30/2015 23:54,Clarendon Metro / Wilson Blvd & N Highland St,6/30/2015 23:58,Wilson Blvd & N Uhle St,W00076,Member
1134027,6/30/2015 23:53,USDA / 12th & Independence Ave SW,7/1/2015 0:12,5th & K St NW,W21816,Member
713124,6/30/2015 23:52,Massachusetts Ave & Dupont Circle NW,7/1/2015 0:04,17th & Corcoran St NW,W00210,Member
174580,6/30/2015 23:52,Calvert St & Woodley Pl NW,6/30/2015 23:55,Adams Mill & Columbia Rd NW,W21437,Member
2667643,6/30/2015 23:51,3000 Connecticut Ave NW / National Zoo,7/1/2015 0:36,New Hampshire Ave & 24th St NW,W00939,Member
2170247,6/30/2015 23:51,17th & Rhode Island Ave NW,7/1/2015 0:27,USDA / 12th & Independence Ave SW,W22236,Casual
731664,6/30/2015 23:50,5th St & Massachusetts Ave NW,7/1/2015 0:02,Eastern Market / 7th & North Carolina Ave SE,W21565,Member
2080965,6/30/2015 23:48,Calvert St & Woodley Pl NW,7/1/2015 0:23,Union Market/6th St & Neal Pl NE,W01325,Member
450133,6/30/2015 23:48,1st & M St NE,6/30/2015 23:56,5th & K St NW,W00352,Member
560478,6/30/2015 23:46,8th & H St NW,6/30/2015 23:56,18th & R St NW,W21161,Member
212287,6/30/2015 23:45,17th & Corcoran St NW,6/30/2015 23:48,Massachusetts Ave & Dupont Circle NW,W00210,Member
381555,6/30/2015 23:44,5th St & Massachusetts Ave NW,6/30/2015 23:51,Metro Center / 12th & G St NW,W21504,Member
